verb,first_frame_diff,total_intersection,total_union,accuracy_2,accuracy_all,recall,precision,f1_0,f1_1,f1_2,f1_macro,f1_micro
grating,9,3,18,0.625,0.55,1.0,0.1666666716337204,0.6086956262588501,0.6666666865348816,0.2857142984867096,0.5203588604927063,0.550000011920929
grating,12,2,18,0.6000000238418579,0.45,1.0,0.1111111119389534,0.3888888955116272,0.75,0.20000000298023224,0.4462963044643402,0.44999998807907104
peeling,2,17,19,0.949999988079071,0.8,1.0,0.8947368264198303,0.0,0.7894737124443054,0.9444444179534912,0.5779727101325989,0.800000011920929
peeling,7,12,19,0.824999988079071,0.6,1.0,0.6315789222717285,0.47058823704719543,0.5,0.774193525314331,0.581593930721283,0.6000000238418579
peeling,5,10,23,0.675000011920929,0.6,0.6666666865348816,0.5555555820465088,0.42105263471603394,0.7142857313156128,0.6060606241226196,0.5804663300514221,0.6000000238418579
peeling,3,18,21,0.925000011920929,0.725,0.8571428656578064,1.0,0.0,0.6666666865348816,0.9230769276618958,0.5299145579338074,0.7250000238418579
peeling,3,16,19,0.925000011920929,0.775,1.0,0.8421052694320679,0.0,0.7692307829856873,0.9142857193946838,0.5611721873283386,0.7749999761581421
peeling,1,10,19,0.7749999761581421,0.625,1.0,0.5263158082962036,0.4615384638309479,0.7200000286102295,0.6896551847457886,0.6237311959266663,0.625
sauteing,15,0,15,0.625,0.425,0.0,0.0,0.5454545617103577,0.5,0.0,0.3484848439693451,0.42500001192092896
sauteing,17,0,17,0.574999988079071,0.175,0.0,0.0,0.3888888955116272,0.0,0.0,0.12962962687015533,0.17499999701976776
squeezing,0,14,19,0.875,0.625,1.0,0.7368420958518982,0.3478260934352875,0.5833333134651184,0.8484848737716675,0.593214750289917,0.625
squeezing,11,15,27,0.699999988079071,0.5,0.6521739363670349,0.7894737124443054,0.0,0.38461539149284363,0.7142857313156128,0.3663003742694855,0.5
mashing,1,19,20,0.9750000238418579,0.825,0.949999988079071,1.0,0.0,0.800000011920929,0.9743589758872986,0.5914530158042908,0.824999988079071
mashing,9,9,18,0.7749999761581421,0.625,1.0,0.5,0.0,0.7272727489471436,0.6666666865348816,0.46464648842811584,0.625
frying,6,0,24,0.4000000059604645,0.15,0.0,0.0,0.0,0.4285714328289032,0.0,0.1428571492433548,0.15000000596046448
frying,7,6,18,0.699999988079071,0.45,1.0,0.3333333432674408,0.4444444477558136,0.4137931168079376,0.5,0.45274582505226135,0.44999998807907104
slicing,11,7,18,0.7250000238418579,0.525,1.0,0.3888888955116272,0.0,0.5957446694374084,0.5600000023841858,0.38524821400642395,0.5249999761581421
slicing,1,18,19,0.9750000238418579,0.825,1.0,0.9473684430122375,0.0,0.8108108043670654,0.9729729890823364,0.5945945978164673,0.824999988079071
chopping,4,12,19,0.824999988079071,0.625,1.0,0.6315789222717285,0.5600000023841858,0.5,0.774193525314331,0.6113978028297424,0.625
chopping,8,5,19,0.6499999761581421,0.45,1.0,0.2631579041481018,0.2222222238779068,0.5789473652839661,0.4166666567325592,0.40594542026519775,0.44999998807907104
rolling,6,13,19,0.8500000238418579,0.75,1.0,0.6842105388641357,0.6000000238418579,0.7368420958518982,0.8125,0.7164473533630371,0.75
rolling,19,21,40,0.688524603843689,0.5901639344262295,1.0,0.5249999761581421,0.0,0.5454545617103577,0.688524603843689,0.41132640838623047,0.5901639461517334
sauteing,16,0,16,0.6000000238418579,0.6,0.0,0.0,1.0,0.7037037014961243,0.0,0.5679011940956116,0.6000000238418579
sauteing,18,0,18,0.550000011920929,0.225,0.0,0.0,0.25641027092933655,0.3478260934352875,0.0,0.2014121264219284,0.22499999403953552
blending,19,0,19,0.5249999761581421,0.35,0.0,0.0,0.0,0.6363636255264282,0.0,0.21212120354175568,0.3499999940395355
blending,4,14,18,0.8999999761581421,0.75,1.0,0.7777777910232544,0.6666666865348816,0.6666666865348816,0.875,0.7361111640930176,0.75
rolling,41,1,42,0.33870968222618103,0.3064516129032258,1.0,0.02380952425301075,0.0,0.4556961953639984,0.04651162773370743,0.16740261018276215,0.30645161867141724
rolling,3,20,23,0.925000011920929,0.6,0.8695651888847351,1.0,0.23529411852359772,0.20000000298023224,0.930232584476471,0.4551755487918854,0.6000000238418579
rolling,9,10,19,0.7749999761581421,0.725,1.0,0.5263158082962036,0.0,0.7755101919174194,0.6896551847457886,0.48838844895362854,0.7250000238418579
rolling,6,13,19,0.8500000238418579,0.825,1.0,0.6842105388641357,0.8571428656578064,0.8292682766914368,0.8125,0.832970380783081,0.824999988079071
slicing,5,5,18,0.675000011920929,0.5,1.0,0.2777777910232544,0.5454545617103577,0.5,0.43478259444236755,0.4934123754501343,0.5
slicing,5,13,18,0.875,0.65,1.0,0.7222222089767456,0.0,0.6666666865348816,0.8387096524238586,0.5017921328544617,0.6499999761581421
slicing,19,0,19,0.5249999761581421,0.375,0.0,0.0,0.0,0.5454545617103577,0.0,0.1818181872367859,0.375
slicing,6,6,19,0.675000011920929,0.375,1.0,0.31578946113586426,0.3333333432674408,0.31578946113586426,0.47999998927116394,0.3763742744922638,0.375
peeling,10,18,28,0.75,0.575,0.6428571343421936,1.0,0.0,0.37037035822868347,0.782608687877655,0.38432633876800537,0.574999988079071
peeling,9,18,27,0.7749999761581421,0.675,0.6666666865348816,1.0,0.3333333432674408,0.5517241358757019,0.800000011920929,0.5616858005523682,0.675000011920929
grating,18,0,18,0.550000011920929,0.2,0.0,0.0,0.05882352963089943,0.5,0.0,0.18627451360225677,0.20000000298023224
grating,10,4,18,0.6499999761581421,0.275,1.0,0.2222222238779068,0.22857142984867096,0.260869562625885,0.3636363744735718,0.2843591272830963,0.2750000059604645
slicing,4,15,19,0.8999999761581421,0.75,1.0,0.7894737124443054,0.0,0.75,0.8823529481887817,0.5441176295280457,0.75
slicing,2,0,20,0.5,0.3,0.0,0.0,0.40909090638160706,0.375,0.0,0.2613636255264282,0.30000001192092896
slicing,0,19,19,1.0,0.9,1.0,1.0,0.0,0.8947368264198303,1.0,0.6315789222717285,0.8999999761581421
slicing,0,19,19,1.0,0.875,1.0,1.0,0.0,0.8648648858070374,1.0,0.6216216087341309,0.875
squeezing,8,8,18,0.75,0.45,1.0,0.4444444477558136,0.0,0.5,0.6153846383094788,0.37179484963417053,0.44999998807907104
squeezing,15,3,18,0.625,0.5,1.0,0.1666666716337204,0.6666666865348816,0.5365853905677795,0.2857142984867096,0.4963221251964569,0.5
coating,18,0,18,0.550000011920929,0.375,0.0,0.0,0.125,0.6086956262588501,0.0,0.2445652037858963,0.375
coating,18,0,18,0.550000011920929,0.175,0.0,0.0,0.2857142984867096,0.19512194395065308,0.0,0.16027875244617462,0.17499999701976776
sauteing,17,0,17,0.574999988079071,0.175,0.0,0.0,0.4137931168079376,0.05882352963089943,0.0,0.15753887593746185,0.17499999701976776
sauteing,17,0,17,0.574999988079071,0.2,0.0,0.0,0.21052631735801697,0.27272728085517883,0.0,0.16108453273773193,0.20000000298023224
blending,18,0,18,0.550000011920929,0.425,0.0,0.0,0.42424243688583374,0.6896551847457886,0.0,0.3712991774082184,0.42500001192092896
blending,13,19,32,0.675000011920929,0.6,0.59375,1.0,0.6666666865348816,0.20000000298023224,0.7450980544090271,0.5372548699378967,0.6000000238418579
mashing,15,17,28,0.7250000238418579,0.45,0.6296296119689941,0.9444444179534912,0.13333334028720856,0.0,0.7555555701255798,0.29629629850387573,0.44999998807907104
mashing,18,0,18,0.550000011920929,0.425,0.0,0.0,0.761904776096344,0.4390243887901306,0.0,0.4003097116947174,0.42500001192092896
grating,18,0,18,0.550000011920929,0.525,0.0,0.0,0.9473684430122375,0.5581395626068115,0.0,0.5018360018730164,0.5249999761581421
grating,18,0,18,0.550000011920929,0.375,0.0,0.0,0.19354838132858276,0.774193525314331,0.0,0.32258063554763794,0.375
